Действующий;Тип;Название;Город;Индекс;"Индекс RU";"Код страны";Страна;КТА;Превышение;Принадлежность;Международный;Email;Web-сайт;Примечание
Действующий;Вертодром;Ганцевичи;;XMBG;ЬМБГ;UM-RUSS/BELRS;Беларусь;"N52.77482° E026.41587°";162;МО;;;;"Оператор: нет данных."
Действующий;Аэродром;Ганцевичи;Барановичи;ZF0N;ЗФ0Н;UM-RUSS/BELRS;Беларусь;"N52.77148° E026.48185°";157;АОН;;;;"Площадка АХР."
Недействующий;Аэродром;Ганькино;;UUMQ;УУМЯ;UU-RUSSIA;Россия;"N54.87047° E039.38018°";103;АОН;;;;"Оператор: нет данных. На удалении 800м от торца ВПП на запад и 3000м на восток, поперёк ВПП и русла р. Ока проходит ЛЭП. Нкр.(300)м."
Действующий;Вертодром;Гарах;;HFY6;ХФЫ6;UU-RUSSIA;Россия;"N41.49090° E048.06335°";680;ФСБ;;;;"Горный. Оператор: пограничная застава ПС ФСБ России."
Действующий;Аэродром;Гардышевка;;UPGB;УПГБ;UK-UKRAINE;Украина;"N49.89825° E028.43607°";266;АОН;;;;"Оператор: нет данных."
Недействующий;Аэродром;Гари;;ZA3J;ЗА3Й;UU-RUSSIA;Россия;"N59.43382° E062.37512°";136;ГА;;;;"Владелец ПП: нет данных. Нкр=(100)м."
Недействующий;Аэродром;Гарино;;ZF39;ЗФ39;UU-RUSSIA;Россия;"N56.96445° E028.87550°";85;ГА;;;;"Бывшая площадка АХР."
Недействующий;Вертодром;Гарколово;;HA9I;ХА9И;UU-RUSSIA;Россия;"N59.80030° E028.66533°";19;ГА;;;;
Действующий;Аэродром;"Гаровка 2-я";;XHHG;ЬХХГ;UU-RUSSIA;Россия;"N48.39628° E135.22393°";72;МО;;;;"Ранее базировался 825-й овп."
Действующий;Вертодром;Гартовка;;HGM8;ХГМ8;UU-RUSSIA;Россия;"N51.91100° E045.91627°";197;МО;;;;"Оператор: РВСН."
Недействующий;Аэродром;Гарь;;ZD3T;ЗД3Т;UU-RUSSIA;Россия;"N52.58338° E129.14318°";258;ГА;;;;
Действующий;Вертодром;Гастелло;;HGU8;ХГУ8;UU-RUSSIA;Россия;"N49.10888° E142.93472°";36;ГА;;;;"Оператор: нет данных."
Действующий;Аэродром;"Гацук (Вежи)";;XMBB;ЬМББ;UM-RUSS/BELRS;Беларусь;"N53.30500° E027.51667°";170;МО;;;;"Республика Беларусь."
Недействующий;Вертодром;Гвардейск;;H148;Х148;UU-RUSSIA;Россия;"N54.65122° E021.04800°";3;МО;;;;"Калининградский особый район."
Действующий;Аэродром;Гвардейское;Симферополь;UKFG;УКФГ;UU-RUSSIA;Россия;"N45.11625° E033.97667°";153;МО;;;;"Оператор: 4-ый К ВВС и ПВО. Военный индекс: XRFG / ЬРФГ."
Действующий;Вертодром;"ГДБ 7";Москва;HA1I;ХА1И;UU-RUSSIA;Россия;"N55.85142° E037.40225°";174;МЧС;;;;"Оператор: городская детская больница №7 в Тушино. ПП маркирована по нормативу для учреждений здравоохранения."
Недействующий;Аэродром;Гдов;;ZA3K;ЗА3К;UU-RUSSIA;Россия;"N58.73563° E027.83297°";43;ГА;;;;"Не пригоден."
Действующий;Вертодром;Геджух;;HD4Q;ХД4Я;UU-RUSSIA;Россия;"N42.13710° E048.09997°";55;ГА;;;;"Базирование ВС АК ""Баркол"". ВС до 12 тонн."
Недействующий;Вертодром;Гектограф;;HC75;ХЦ75;UU-RUSSIA;Россия;"N68.74202° E033.00810°";292;МО;;;;"Оператор: нет данных."
Действующий;Аэродром;Геленджик;;URKG;УРКГ;UU-RUSSIA;Россия;"N44.58202° E038.01300°";40;ГА;;;;"ИВПП-03/21 недействующая с 2008 г, в рабочем состоянии не поддерживается.
Оператор - ОП ""Аэропорт Геленджик"" Международного аэропорта ""Краснодар"""
Действующий;Аэродром;"Геленджик Бухта";;URKN;УРКН;UU-RUSSIA;Россия;"N44.57000° E038.03861°";0;ГА;;baza_gel@mail.ru;;"ГидроРД представляет собой многоугольник с координатами:
с44º34'44""в038º01'30""; с44º34'54""в038º01'59""; с44º34'54""в038º02'12""; с44º34'54""в038º02'33""; с44º34'40""в038º02'33""; с44º34'37""в038º02'12""; с44º34'36""в038º02'01""; с44º34'37""в038º01'39""; с44º34'40""в038º01'29""; с44º34'44""в038º01'30"";  с44º33'31""в038º02'26""; с44º34'38""в038º02'23""; с44º33'32""в038º02'36""; с44º34'40""в038º02'33"". 
Выполнение взлёта в секторе МК=346°-326° разрешается если в результате расчёта параметров взлёта по номограммам обеспечивается градиент набора высоты более 5%.
Старт разбивается в соответствии с гидрометеоусловиями на день полетов, по согласованию с РП а/п «Геленджик» и диспетчером морского порта. На время проведения полётов гидросамолётов район гидроаэродрома ограждается буями и объявляется закрытым для плавания. Основные МК (каналы) взлёта и посадки 166°-346°.
При несоответствии гидрометеоусловий для выполнения взлёта и посадки с основными курсами (каналами), разрешается выполнение взлёта и посадки с дополнительными курсами (каналами) в секторе: 346°-326° в северном направлении, и 166°-146° в южном. При обязательном условии выполнения посадки в пределах установленных границ акватории гидроаэродрома. 
Гидроаэродром. Горный. Оператор: Гидробаза ТАНТК имени Г.М. Бериева. ОПРС: 1000-""ГН"". Взлет с воды при наличии льдин и других предметов в зоне взлета - ЗАПРЕЩАЕТСЯ. Зарегистрирован в Южном МТУ ВТ №ЮП1-68 от 25.08.2011г.
В ""Сборнике телеграфных индексов..."" 1998 г. индекс УРКН имеет пункт ""Новороссийск""."
Действующий;Аэродром;Гелион;Барнаул;ZF50;ЗФ50;UU-RUSSIA;Россия;"N53.37007° E084.05965°";163;АОН;;;;"Оператор: субъект АОН (физическое лицо). АНП ПП зарегистрирован Западно-Сибирским МТУ ВТ ФАВТ №СП3-163 от 15.07.2011. "
Недействующий;Аэродром;Геническ;;ZE1C;ЗЕ1Ц;UK-UKRAINE;Украина;"N46.20992° E034.76550°";16;МО;;;;"Построен до начала ВОВ. Плиты БВПП, РД, МРД и МС демонтированы. От аэродрома остались одни очертания. Из плит построили часть дороги на Арабатской Стрелке. Не пригоден для взлётов и посадок."
Действующий;Вертодром;Генух;;HFZ2;ХФЗ2;UU-RUSSIA;Россия;"N42.15975° E046.00472°";2495;ФСБ;;;;"Горный. Оператор: пограничная застава ПС ФСБ России."
Действующий;Вертодром;"Геобаза Энердях";;HC1H;ХЦ1Х;UU-RUSSIA;Россия;"N64.34115° E116.93745°";140;ГА;;;;
Недействующий;Вертодром;Геопорт;Новороссийск;HE6D;ХЕ6Д;UU-RUSSIA;Россия;"N44.71559° E037.83751°";0;МО;;;;"Оператор: Спецстрой России.
Для единовременной посадки двух Ми-8. Расположены на закрытой территории строительства Новороссийской Военно-Морской Базы. "
Действующий;Аэродром;Георгиевка;;UWWI;УВВИ;UU-RUSSIA;Россия;"N53.28557° E051.03133°";40;ДОСААФ;;;;"ГВПП-02/20 в рабочем состоянии не поддерживается."
Действующий;Вертодром;Георгиевская;;HD4R;ХД4Р;UU-RUSSIA;Россия;"N44.10118° E043.44852°";309;ГА;;;;"Оператор: "
Действующий;Вертодром;Герасимовка;;ZD3Z;ЗД3З;UU-RUSSIA;Россия;"N58.60005° E071.90676°";81;АОН;;;;
Действующий;Вертодром;Гербелик;;HH40;ХХ40;UU-RUSSIA;Россия;"N52.87007° E126.46020°";298;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;Гербикан;;HE0K;ХЕ0К;UU-RUSSIA;Россия;"N54.21713° E133.37290°";116;ГА;;;;
Недействующий;Аэродром;Гергебиль;;ZA3L;ЗА3Л;UU-RUSSIA;Россия;"N42.52562° E047.02865°";743;ГА;;;;"Горный. Бывший аэродром МВЛ-2 СКУ ГА. Нкр.=(1050)м, грузонапряженность до 15 т. (СРС:2630/4840)."
Действующий;Вертодром;Геркулес;;HF82;ХФ82;UU-RUSSIA;Россия;"N59.98607° E030.16338°";4;АОН;;;;"Оператор: нет данных"
Действующий;Аэродром;"Геркулес гидро";Санкт-Петербург;ULSH;УЛСХ;UU-RUSSIA;Россия;"N59.98248° E030.16270°";0;АОН;;iskander013@yandex.ru;;"Оператор: нет данных. Прилёт строго по согласованию."
Недействующий;Вертодром;Гехи;;HCY6;ХЦЫ6;UU-RUSSIA;Россия;"N43.14438° E045.47808°";244;МО;;;;"Заброшен, использовался во 2-й Чеченской кампании."
Недействующий;Аэродром;Гиагинская;;XRKG;ЬРКГ;UU-RUSSIA;Россия;"N44.88817° E039.96413°";117;МО;;;;"Нкр.=(300)м. БПРС:538-""ВЫ/ПЧ, БПРС:260-""В/П""."
Недействующий;Аэродром;Гигант;;ZAH9;ЗАХ9;UU-RUSSIA;Россия;"N46.53342° E041.37813°";95;ГА;;;;"Площадка АХР.
Для посадки самолетов не пригодна."
Действующий;Вертодром;Гидробаза;Геленджик;HD39;ХД39;UU-RUSSIA;Россия;"N44.57798° E038.02280°";7;ЭА;;;;"Пригодна для взлета и посадки вертолетов массой до 13 тонн. Оператор ТАНТК им. Бериева."
Действующий;Вертодром;Гидронамыв;;HD5P;ХД5П;UU-RUSSIA;Россия;"N67.50977° E078.65153°";10;ГА;;;;"Владелец ПП: нет данных."
Действующий;Вертодром;Гидропарк;Киев;UKKF;УККФ;UK-UKRAINE;Украина;"N50.45802° E030.56785°";91;АОН;;;;"Маркирован. С 25.07.2013 вертодром находится в CTR АД Жуляны."
Действующий;Вертодром;Гидропорт;Дудинка;HF9A;ХФ9А;UU-RUSSIA;Россия;"N69.39517° E086.23760°";23;ГА;;;;"Оператор: нет данных."
Действующий;Аэродром;Гидропорт;Одесса;UKOE;УКОЕ;UK-UKRAINE;Украина;"N46.57898° E030.70478°";42;АОН;;air9@i.ua;http://www.airclub.odessa.ua;"Оператор: 
Аэроклуб ""ОДЕССА"""
Недействующий;Вертодром;Гидроторф;;HH7S;ХХ7С;UU-RUSSIA;Россия;"N56.45860° E043.50324°";80;АОН;;tsybinr@yandex.ru;;"Оператор: нет данных. Территория ""Реал-Инвест"". Планируется обеспечивать вертолеты до 13 тонн."
Действующий;Аэродром;Гизель;Владикавказ;XRMD;ЬРМД;UU-RUSSIA;Россия;"N43.07302° E044.58708°";606;ДОСААФ;;maco65@mail.ru;http://airkavkaz.ucoz.ru;"Горный. Оператор: Владикавказский республиканский АСК ДОСААФ России. Спецификация: полеты на планерах, парашютные прыжки. Нкр.=(300)м."
Действующий;Вертодром;ГИМС;Казань;HEL4;ХЕЛ4;UU-RUSSIA;Россия;"N55.79772° E049.09083°";53;МЧС;;;;Маркирована.
Недействующий;Аэродром;Гирвас;;XLPG;ЬЛПГ;UU-RUSSIA;Россия;"N62.48253° E033.74983°";89;МО;;;;"Ранее принадлежал 6A ВВС и ПВО. Бывший аэродром стратегической авиации, построенный в 1940 г. как полевой военный аэродром. Служил запасным аэродромом 57-го ГвИАП (в/часть 40442, до ноября 1990 г. авиационный гарнизон «Бесовец»). В н. в. используется для обучения вождению автомобиля. Нкр.=(800)м. ДПРМ:648-""МИ"", БПРМ:315-""М""."
Недействующий;Вертодром;Гиревичи;;XMNA;ЬМНА;UM-RUSS/BELRS;Беларусь;"N54.04638° E027.14757°";332;ГА;;;;
Действующий;Вертодром;"ГКБ 15";;UUUN;УУУН;UU-RUSSIA;Россия;"N55.72975° E037.83078°";145;МЧС;;;;"Оператор: Московский авиационный центр (Правительство Москвы). На территории городской клинической больницы №15 имени О.М.Филатова."
Действующий;Вертодром;"ГКБ 20";Москва;UUUQ;УУУЯ;UU-RUSSIA;Россия;"N55.86553° E037.66468°";152;МЧС;;;;"Оператор: Городская клиническая больница №20."
Действующий;Вертодром;"ГКБ 7";Москва;UUUB;УУУБ;UU-RUSSIA;Россия;"N55.66150° E037.64152°";175;МЧС;;;;"Оператор: Московский онкологический центр.  ВП маркирована с прожекторным подсветом."
Действующий;Вертодром;"ГКБ 71";Москва;UUUR;УУУР;UU-RUSSIA;Россия;"N55.72252° E037.43053°";167;МЧС;;;;"Оператор: городская клиническая больница №71. Подконтрольна МТУ ВТ ЦР ФАВТ."
Недействующий;Вертодром;"ГКБ №2";Владивосток;HH8U;ХХ8У;UU-RUSSIA;Россия;"N43.17497° E131.93435°";105;ГА;;;;
Действующий;Вертодром;"ГКБ №36";;HAC9;ХАЦ9;UU-RUSSIA;Россия;"N55.79308° E037.73835°";137;МЧС;;;;"Точка на проверке"
Действующий;Вертодром;"ГКМ Нижне-Квакчикское";;HGU1;ХГУ1;UU-RUSSIA;Россия;"N54.68945° E155.85420°";63;ГА;;;;"Оператор: Газоконденсатное месторождение ""Нижне-Квакчикское"" магистрального газопровода «Соболево - П.-Камчатский»"
Действующий;Вертодром;"ГКС Александров Гай";;HGR2;ХГР2;UU-RUSSIA;Россия;"N50.13345° E048.64030°";20;ГА;;;;"Оператор: газокомпрессорная станция ЛПУ МГ филиал «Газпром трансгаз Саратов». Крупнейшая ГКС в Европе."
Действующий;Вертодром;"ГКС Калач";;HGR0;ХГР0;UU-RUSSIA;Россия;"N50.33408° E041.06335°";145;ГА;;;;"Оператор: ООО «Газпром трансгаз Волгоград». МГ «Починки-Изобильное-Северо-Ставропольское ПХГ»."
Действующий;Вертодром;"ГКС Пикалево";;HD4T;ХД4Т;UU-RUSSIA;Россия;"N59.48963° E034.34015°";204;ГА;;;;"Оператор: ООО «Газпром трансгаз Санкт-Петербург». ВС до 12 т."
Действующий;Вертодром;"ГКС Приполярная";;HFW8;ХФВ8;UU-RUSSIA;Россия;"N63.22258° E059.77850°";253;ГА;;;;"Оператор: нет данных."
Действующий;Аэродром;Главный;Бугуруслан;UWWB;УВВБ;UU-RUSSIA;Россия;"N53.61837° E052.44628°";99;ГА;;;;"Нкр.=(200)м, ОПРС:220-""АЯ"", ВС до 16 тонн. Учебный аэродром Бугурусланского ЛУ ГА (ныне имеет статус посадочной площадки). Размеры ГВПП и МКпос скорректированы по АИП РФ, книга 4. Западнее ГВПП 17/35 (параллельно ей) расположена бывшая ИВПП (бетонная), для полётов непригодна, используется только для руления ВС."
Действующий;Вертодром;Глаголево;;HF26;ХФ26;UU-RUSSIA;Россия;"N55.47983° E037.00613°";195;АОН;;;;"Оператор: нет данных. АНП ПП не зарегистрирован."
Недействующий;Вертодром;Гладкая-1;;HFP0;ХФП0;UU-RUSSIA;Россия;"N56.35397° E092.24793°";420;МО;;;;"Оператор: 36-я Гв. РД РВСН."
Недействующий;Вертодром;Гладкая-52;;HFP1;ХФП1;UU-RUSSIA;Россия;"N56.61102° E093.11509°";263;МО;;;;"Оператор: 36-я Гв. РД РВСН."
Действующий;Аэродром;Глажево;;ZA3M;ЗА3М;UU-RUSSIA;Россия;"N59.66012° E032.10628°";33;АОН;;spbolegn@mail.ru;;"Оператор: физ. лицо АОН. Бывшая площадка АХР."
Недействующий;Вертодром;Глазковка;;HGT6;ХГТ6;UU-RUSSIA;Россия;"N43.07238° E134.17145°";26;ГА;;;;"Горный. Ранее функционировал как аэродром МВЛ-2."
Действующий;Вертодром;Глазово;;H717;Х717;UU-RUSSIA;Россия;"N56.96758° E037.48397°";118;АОН;;;;"Оператор: нет данных."
Недействующий;Аэродром;Глебово;;ZEE9;ЗЕЕ9;UU-RUSSIA;Россия;"N52.47343° E036.22677°";251;ГА;;;;"Бывшая площадка АХР."
Действующий;Вертодром;Глинино;;HF02;ХФ02;UU-RUSSIA;Россия;"N57.70973° E037.87670°";134;ГА;;;;
Действующий;Вертодром;Глинищево;;H099;Х099;UU-RUSSIA;Россия;"N53.29358° E034.09378°";193;ГА;;info@brynsk.mtg.gazprom.ru;;"Оператор: Филиал ООО
«Газпромтрансгаз Москва», 
Брянское УМГ."
Недействующий;Аэродром;Глинка;;ZDD8;ЗДД8;UU-RUSSIA;Россия;"N54.60813° E032.88225°";230;ГА;;petr-sin@mail.ru;;"Площадка АХР."
Недействующий;Аэродром;Глиняны;;ZB5R;ЗБ5Р;UK-UKRAINE;Украина;"N49.82638° E024.53590°";0;ГА;;;;"ВПП не проверена. По торцам ВПП и вдоль нее - огороды."
Недействующий;Вертодром;Глобино;;UKHG;УКХГ;UK-UKRAINE;Украина;"N49.41072° E033.26660°";100;ГА;;;;"Бывший учебный а/д Кременчугского
 ЛУГА.
Ранее маркировалась только ГВПП с МК=080° для посадки вертолетов по-самолетному.
Сохранились бетонные квадраты на восточной и южной стороне летного поля."
Недействующий;Аэродром;Глобус;Рязань;ZCT9;ЗЦТ9;UU-RUSSIA;Россия;"N54.62565° E039.82177°";94;АОН;;krutitcy@mail.com;www.krutitcy.ru;"В ОЗП не пригодна для взлёта-посадки. В выходные дни организуются парашютные прыжки. Прилеты по предварительному согласованию с администрацией. Подход  под управлением РП а/д гос. авиации Рязань (Дягилево). ВНИМАНИЕ: ПП находится в 6-ти км южнее створа основного направления захода на посадку а/д Рязань (Дягилево)."
Недействующий;Аэродром;Глодосы;Глодосы;ZB5F;ЗБ5Ф;UK-UKRAINE;Украина;"N48.47517° E031.32217°";;;;;;
Недействующий;Аэродром;"Глубокая Балка";;ZD9W;ЗД9В;UK-UKRAINE;Украина;"N48.69552° E032.42500°";211;ГА;;;;"Площадка АХР."
Недействующий;Аэродром;Глубокий;;ZA3N;ЗА3Н;UU-RUSSIA;Россия;"N48.50100° E040.36763°";111;ГА;;;;"Площадка АХР."
Недействующий;Аэродром;Глумицы;;ZA3O;ЗА3О;UU-RUSSIA;Россия;"N59.38977° E029.73353°";117;ГА;;;;"Площадка АХР."
Недействующий;Аэродром;Глуск;;ZD8N;ЗД8Н;UM-RUSS/BELRS;Беларусь;"N52.91068° E028.66437°";150;ГА;;;;"Площадка АХР."
Недействующий;Вертодром;Глухари;;HD86;ХД86;UU-RUSSIA;Россия;"N51.79298° E128.18952°";270;ГА;;;;
Действующий;Аэродром;Глухариное;;UHGL;УХГЛ;UU-RUSSIA;Россия;"N64.99988° E153.09638°";310;ГА;;;;"Горный. Оператор: нет данных."
Действующий;Аэродром;Глухов;;UPGL;УПГЛ;UK-UKRAINE;Украина;"N51.68340° E033.87132°";177;АОН;;aviakom.ak@mail.ru;http://www.avia-ak.com.ua/;
Недействующий;Вертодром;Глуша;;XMQG;ЬМЯГ;UM-RUSS/BELRS;Беларусь;"N53.08587° E028.81333°";152;МО;;;;"Действительный индекс ""ЬМЩГ"" (нетранслитерируемый)."
Недействующий;Вертодром;Глушенцы;;XMFB;ЬМФБ;UM-RUSS/BELRS;Беларусь;"N53.86492° E027.07710°";351;ГА;;;;
Недействующий;Аэродром;Глушково;;ZC2V;ЗЦ2Ж;UU-RUSSIA;Россия;"N51.28622° E034.73047°";183;ГА;;;;
Недействующий;Вертодром;Глушнево;;XMFA;ЬМФА;UM-RUSS/BELRS;Беларусь;"N53.88003° E024.22398°";128;МО;;;;
Недействующий;Аэродром;Глядино;;ZA3P;ЗА3П;UU-RUSSIA;Россия;"N59.71173° E029.80570°";134;ГА;;;;"Ленинградская область. Россия. Площадка АХР. Магнитное склонение: +9.5°"
Действующий;Вертодром;Глядковка;;HGF3;ХГФ3;UU-RUSSIA;Россия;"N51.80932° E045.41840°";284;МО;;;;"Оператор: РВСН."
Действующий;Вертодром;"Гнединцы НПС";;HDH8;ХДХ8;UK-UKRAINE;Украина;"N50.43602° E032.79700°";130;ГА;;;;"Оператор: нефтеперекачивающая станция ""Гнединцы""."
Недействующий;Вертодром;Гнездово;;H476;Х476;UU-RUSSIA;Россия;"N54.77198° E031.82243°";171;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;ГНПС-1;;HG3X;ХГ3Ь;UU-RUSSIA;Россия;"N67.81735° E080.03622°";66;ГА;;;;
Недействующий;Аэродром;Говорково;;UNHG;УНХГ;UU-RUSSIA;Россия;"N58.59957° E098.72722°";152;ГА;;;;"Красноярский Край, Россия. Магнитное склонение: +0.9°"
Действующий;Вертодром;Гогланд;;HE2X;ХЕ2Ь;UU-RUSSIA;Россия;"N60.08833° E026.97077°";30;МО;;;;
Действующий;Аэродром;Гоголев;Киев;UPAE;УПАЕ;UK-UKRAINE;Украина;"N50.51403° E031.04608°";110;АОН;;;;"Оператор: нет данных. ПП находится в зоне UK-T703-1, граничит с CTR а/д Киев (Борисполь). Верхняя граница полетов - 300 м.
Полеты разрешены при условии деактивации UK-T703-1. Тел. старшего штурмана Киевского РДЦ: 044 461-62-98 или 461-60-75. ПП официально не зарегистрирована, полеты выполняются как на площадку, подобранную с воздуха. При выполнении захода на посадку уделять внимание ж/б забору, примыкающему к ВПП с торцов.
"
Недействующий;Аэродром;Годуново;;ZA3Q;ЗА3Я;UU-RUSSIA;Россия;"N56.50128° E039.06548°";219;ГА;;;;"Площадка АХР."
Недействующий;Аэродром;Гожня;;ZE2W;ЗЕ2В;UU-RUSSIA;Россия;"N56.53643° E052.81453°";180;ГА;;;;"Бывшая площадка АХР. ИВПП сильно заросла, поверхность имеет повреждения. Ремонтопригодна."
Действующий;Вертодром;Голиково;;UUCG;УУЦГ;UU-RUSSIA;Россия;"N55.93568° E037.31608°";164;АОН;;tekunov@polyplastic.ru;;"Оператор: ООО «Голиково-2». Не маркирована. Безопасный сектор
взлета и посадки:
065º-095º/190º-245º.
"
Недействующий;Аэродром;Голобы;;ZE6F;ЗЕ6Ф;UK-UKRAINE;Украина;"N51.08633° E024.97497°";190;ГА;;;;"Площадка АХР."
Действующий;Аэродром;Голованевск;;ZB84;ЗБ84;UK-UKRAINE;Украина;"N48.38253° E030.47942°";196;ГА;;;;"Состояние ВПП на июль 2012: встречаются довольно большие кочки, а также коровы, аисты. Уровень травы нормальный. Используется самолетами Ан-2, стоянка под открытым небом. В 550м от стоянки, на дороге, автозаправка RUS (48.378623N,30.476407E)."
Недействующий;Аэродром;Головановка;;ZEN4;ЗЕН4;UU-RUSSIA;Россия;"N46.85645° E040.96652°";106;ГА;;;;"Бывшая площадка АХР."
Действующий;Аэродром;Головино;Томск;XNNG;ЬННГ;UU-RUSSIA;Россия;"N56.36492° E084.74222°";110;ДОСААФ;;;;"Оператор: Томский областной АСК ДОСААФ России."
Действующий;Вертодром;Головнино;;HGU2;ХГУ2;UU-RUSSIA;Россия;"N43.73808° E145.51587°";11;ФСБ;;;;"Оператор: пограничная застава ФСБ России."
Действующий;Вертодром;Головные;;UUHF;УУХФ;UU-RUSSIA;Россия;"N66.12745° E057.35053°";82;ГА;;;;
Действующий;Вертодром;Головные-2;;HC2K;ХЦ2К;UU-RUSSIA;Россия;"N66.12433° E057.35307°";80;ГА;;;;Маркирован.
Недействующий;Аэродром;Гологузово;;ZBT1;ЗБТ1;UU-RUSSIA;Россия;"N57.15523° E039.58337°";150;ГА;;;;"Площадка АХР.
Территория аэродрома завалена мусором и заросла деревьями. В торце установлена мачта ЛЭП"
Недействующий;Аэродром;Голотль;;ZA3R;ЗА3Р;UU-RUSSIA;Россия;"N42.48480° E046.72093°";781;ГА;;;;"Горный. Нкр.=(1100-880) по P Махачкалы. Принимал ВС до 15 тонн."
Недействующий;Аэродром;Голубевая;;ZA3T;ЗА3Т;UU-RUSSIA;Россия;"N55.39140° E038.97787°";145;ГА;;;;
Недействующий;Аэродром;Голубково;;ZA3U;ЗА3У;UU-RUSSIA;Россия;"N58.55830° E029.93587°";70;АОН;;spbaero2@gmail.com;;"Бывшая площадка АХР.  Оператор по линии АОН не известен."
Недействующий;Аэродром;Голубовка;;ZC58;ЗЦ58;UU-RUSSIA;Россия;"N46.89315° E040.77277°";105;ГА;;;;"Площадка АХР."
Недействующий;Аэродром;Голубовка;;XHID;ЬХИД;UU-RUSSIA;Россия;"N45.84385° E133.82210°";77;МО;;;;"Для посадки самолетов не пригоден. ВПП используется для складирования имущества."
Действующий;Вертодром;Голубовка;;HG9R;ХГ9Р;UU-RUSSIA;Россия;"N45.84482° E133.84642°";84;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;Голубое;;HH44;ХХ44;UU-RUSSIA;Россия;"N51.75857° E128.00330°";254;ГА;;;;"Оператор: нет данных."
Действующий;Вертодром;Голубятня;Южный;HE28;ХЕ28;UK-UKRAINE;Украина;"N46.64348° E031.02273°";11;АОН;;;;"Оператор: зерновой терминал морского торгового порта ""Южный"". Название ПП обусловлено огромным количеством птиц, обитающих на зерновом терминале."
Действующий;Вертодром;Голынка;;HG12;ХГ12;UM-RUSS/BELRS;Беларусь;"N53.17447° E023.91142°";133;ФСБ;;;;"Оператор: Государственный пограничный комитет РБ (Гродненская пограничная группа)."
Действующий;Вертодром;Гольда;;HGB1;ХГБ1;UU-RUSSIA;Россия;"N47.79160° E135.08438°";60;ГА;;;;"Оператор: нет данных."
Недействующий;Аэродром;Гольтявино;Невонка;ZDY5;ЗДЫ5;UU-RUSSIA;Россия;"N58.42620° E098.33757°";151;ГА;;;;
Действующий;Вертодром;Гольф-Клуб;Харьков;HE39;ХЕ39;UK-UKRAINE;Украина;"N50.07943° E036.23498°";197;АОН;;;;
Действующий;Аэродром;Гомель;;UMGG;УМГГ;UM-RUSS/BELRS;Беларусь;"N52.52702° E031.01670°";143;ГА;Международный;;http://www.avia.by/page-843-ru.html;"Оператор: Гомельский филиал ГП ""Белаэронавигация"". Введен в эксплуатацию в 1967 г. В 1993 г. придан статус международного."
Действующий;Вертодром;Гонгота;;HB93;ХБ93;UU-RUSSIA;Россия;"N51.78337° E112.27818°";970;МО;;;;"Горный. Владелец ПП: войсковая часть N."
Недействующий;Вертодром;Гонохово;;HB94;ХБ94;UU-RUSSIA;Россия;"N57.57993° E079.50763°";90;ГА;;;;
Недействующий;Вертодром;Гончаровское;;HDD0;ХДД0;UK-UKRAINE;Украина;"N51.28352° E030.93506°";145;МО;;;;"В Советское время базировалась 30-я ОСВЭ (отдельная смешанная вертолетная эскадрилья) на  Ми-8."
Действующий;Вертодром;Гора;Киев;HGQ3;ХГЯ3;UK-UKRAINE;Украина;"N50.36552° E030.83883°";127;АОН;;;www.scout.aero;"Оператор: НПК ""Горизонт""."
Недействующий;Аэродром;"Гора Валдай";;ZD6L;ЗД6Л;UU-RUSSIA;Россия;"N59.96130° E029.18502°";28;МО;;;;"Бывший аэродром времен ВОВ."
Действующий;Вертодром;"Гора Пашина";Чебаркуль;H558;Х558;UU-RUSSIA;Россия;"N55.12603° E060.56313°";300;МО;;;;"Оператор: вертодром учебного полигона войск Центрального ВО (Азов) с 9-ю ВП (20x20м)."
Действующий;Вертодром;"Гора Придорожная";;HAA7;ХАА7;UU-RUSSIA;Россия;"N55.10780° E060.66005°";290;МО;;;;"Оператор: учебный полигон войск Центрального ВО (Азов)."
Недействующий;Вертодром;Горани;;XMFW;ЬМФВ;UM-RUSS/BELRS;Беларусь;"N53.91558° E027.17228°";311;ГА;;;;
Недействующий;Вертодром;Горб-Гора;;HA1O;ХА1О;UU-RUSSIA;Россия;"N57.39753° E027.67273°";113;ФСБ;;;;
Недействующий;Вертодром;Горбово;;HA1P;ХА1П;UU-RUSSIA;Россия;"N57.11003° E033.19255°";211;;;;;
Действующий;Вертодром;Горбольница;Новороссийск;HF2K;ХФ2К;UU-RUSSIA;Россия;"N44.71087° E037.77362°";59;МЧС;;;;"Оператор: нет данных."
Действующий;Вертодром;Горбольница;"Западная Двина";HDS5;ХДС5;UU-RUSSIA;Россия;"N56.24907° E032.08817°";187;МЧС;;;;
Недействующий;Вертодром;"Горбунова Гора";;H103;Х103;UU-RUSSIA;Россия;"N57.38332° E027.80005°";;;;;;
Недействующий;Аэродром;Гордыня;;ZD14;ЗД14;UK-UKRAINE;Украина;"N49.54721° E023.39273°";;МО;;;;"Бывший аэродром ВВС РККА
http://www.wwii-photos-maps.com/targetrussia/citynamesbeginningh/citynames-hajn-husi/slides/Hordynia%20%20029.html
"
Действующий;Аэродром;Горелово;;XLLE;ЬЛЛЕ;UU-RUSSIA;Россия;"N59.76578° E030.07790°";58;МО;;;;"Ранее принадлежал МВД и ФСБ. Нкр.=(300)м."
